DRV-501:Crown Victoria:12669397.00
BTZ-852:Ford pickup F100:14216081.00
ZDJ-709:Jeep Cherokee:7198426.00
RJO-269:Chevy Van:5352530.00
QWH-600:Toyota Landcruiser:10761222.00
VNZ-389:Volvo Wagon:12077392.00
BBO-107:Caprice Classic:9883860.00
DAZ-700:Caprice Classic:9952294.00
WUI-989:Caprice Classic:5429780.00
LBB-297:Mazda Miata:5451435.50
VPD-836:Ford Mustang 65:10464312.00
QNF-657:Jeep Cherokee:8226311.50
NQI-353:Mitsubish Eclipse:5439135.50
KCG-382:Caprice Classic:8770329.00
WMO-211:Chevy Van:11830550.00
QXK-167:Camión Ford 350:10184004.00
JVN-915:Range Rover:13966202.00
QDZ-543:Plymouth Cuda:7271065.00
VUM-981:Chevy Pickup:11783704.00
BBR-671:Camión Ford 350:13237348.00
AIB-289:Chevy Pickup:13005093.00
CTB-412:Crown Victoria:12581040.00
BGW-935:Ford Mustang 65:9902505.00
QDE-439:Ford pickup F100:10656591.00
IQN-153:Caprice Classic:12305430.00
CUE-209:Camión Ford 350:6407769.50
EAC-555:BMW 5 Series:5238578.50
TEQ-011:Ford Mustang 65:8977620.00
VYR-323:Jeep Cherokee:5646865.50
EFO-217:Ford pickup F100:8895722.00
SMW-308:Sedan:10023366.00
BDX-233:Toyota Landcruiser:11973643.00
GJN-575:Mitsubish Eclipse:13748387.00
ULF-915:Sedan:7410148.00
CCE-196:Mazda Miata:5259408.50
UYH-129:Ford Mustang 65:7115166.00
ISZ-028:Toyota Landcruiser:5433359.00
IGA-482:Crown Victoria:8431280.00
JNC-321:Mazda Miata:8833854.00
BRC-363:Mitsubish Eclipse:12855496.00
BUB-360:Mitsubish Eclipse:8960238.00
IKK-167:Mazda Miata:5784560.00
HEJ-427:Jeep Cherokee:10037221.00
KQR-094:Mitsubish Eclipse:14700835.00
FAH-816:Ford Mustang 65:13193671.00
CGP-796:Ford pickup F100:12927232.00
WDU-182:Ford pickup F100:10267462.00
XEH-862:Sedan:13167679.00
HDS-485:Crown Victoria:13556573.00
UMS-714:Mazda Miata:5488030.00
QVF-507:Mitsubish Eclipse:13159337.00
XCV-536:Caprice Classic:9053062.00
TDB-569:Ford Mustang 65:10047057.00
KFF-572:Jeep Cherokee:11004830.00
CUW-156:Ford Mustang 65:6631193.50
VZZ-164:Jeep Cherokee:13633482.00
NYY-184:Plymouth Cuda:11456036.00
RWV-314:BMW 5 Series:12114209.00
GPK-725:Toyota Landcruiser:7232874.50
NFH-161:Camión Ford 350:10304420.00
CMJ-999:Range Rover:7364598.00
WBZ-956:Chevy Van:7033425.00
GPN-517:Caprice Classic:11506180.00
ZYV-603:BMW 5 Series:12563941.00
WCD-713:Mitsubish Eclipse:8895729.00
LJY-901:Ford pickup F100:12388282.00
THW-904:Mazda Miata:10951208.00
LLQ-583:Caprice Classic:12142233.00
MWL-528:Caprice Classic:10591563.00
FNR-264:Ford  Van:10220296.00
SJI-789:Ford pickup F100:12467720.00
JJV-175:BMW 5 Series:13579571.00
KIV-613:Jeep Cherokee:8609383.00
XBP-541:Camión Ford 350:5033175.00
MJX-326:Bus Escolar:11557215.00
AMW-707:Ford Mustang 65:14688211.00
AUC-114:Mazda Miata:10596260.00
NEP-926:Chevy Van:6405331.00
YBC-267:Caprice Classic:14040477.00
GTL-244:Ford Mustang 65:12370384.00
EVR-322:Volvo Wagon:8820175.00
KZU-659:Chevy Pickup:9331520.00
YOU-637:Range Rover:8368512.50
LUW-915:Jeep Cherokee:9184489.00
LCS-731:Chevy Van:10340630.00
CIL-628:BMW 5 Series:7489342.50
KBV-771:BMW 5 Series:7839863.50
YDD-175:BMW 5 Series:10179684.00
QGX-034:Ford  Van:12582149.00
TED-903:Ford Mustang 65:6662058.00
LZE-114:Toyota Landcruiser:8836175.00
PNG-307:Caprice Classic:10077008.00
AKS-384:Range Rover:12983314.00
RYO-737:Chevy Van:6610129.00
TIY-873:Jeep Cherokee:5084098.50
VGS-802:Mazda Miata:11011564.00
QIJ-471:Ford Mustang 65:5764835.50
CQE-433:Camión Ford 350:6886177.50
QDA-440:Plymouth Cuda:13185400.00
HNE-377:Ford  Van:8276659.50
CSW-889:Mitsubish Eclipse:8233378.00
PML-986:Ford Mustang 65:6182691.00
TDX-117:Ford Mustang 65:9475939.00
GPT-030:Ford Mustang 65:9059156.00
UHI-626:Sedan:11756662.00
DCV-979:Ford Mustang 65:8901770.00
CHQ-200:Plymouth Cuda:12320639.00
RNG-056:Ford  Van:9987335.00
YVC-147:Range Rover:5256962.00
WWN-588:Crown Victoria:5339710.50
ERE-178:Ford  Van:9422883.00
KSM-939:Jeep Cherokee:8910613.00
UMN-225:Toyota Landcruiser:13273966.00
KIR-227:Ford  Van:6012778.00
JGP-110:Chevy Pickup:10566013.00
TBN-109:Sedan:9668190.00
KZC-659:Mitsubish Eclipse:12284469.00
GKE-412:Ford Mustang 65:13822172.00
NMP-651:Plymouth Cuda:7247110.00
FTK-268:Toyota Landcruiser:5743941.00
WES-304:Ford pickup F100:8489503.00
WNU-976:Ford pickup F100:9429531.00
EBZ-622:Ford  Van:14354548.00
ZIQ-617:Mazda Miata:12500688.00
WML-997:Volvo Wagon:7909359.50
HCT-071:Crown Victoria:8595143.00
GIQ-455:Chevy Pickup:13473240.00
WME-029:Toyota Landcruiser:5868087.00
KNB-323:Range Rover:6211173.50
LWQ-209:Ford pickup F100:6571842.50
IUT-836:BMW 5 Series:8718874.00
CNH-343:Sedan:8910616.00
WLE-172:BMW 5 Series:12178354.00
EIK-235:Bus Escolar:10665674.00
JIN-698:Mazda Miata:13984964.00
LEJ-857:Ford  Van:12151152.00
EWO-912:Jeep Cherokee:6602071.00
PPP-911:Chevy Pickup:10907144.00
MCF-400:Ford  Van:9718241.00
GVH-750:Chevy Van:6850602.00
XSS-098:Range Rover:9136213.00
LZN-511:Bus Escolar:6057434.50
GHB-245:Bus Escolar:11638370.00
JZL-996:Sedan:11642017.00
JJY-323:Bus Escolar:14612510.00
JMG-563:Sedan:6563785.00
RFC-077:Toyota Landcruiser:12253975.00
SEA-786:BMW 5 Series:10895073.00
BOO-295:Ford pickup F100:14291959.00
AEV-659:BMW 5 Series:9945461.00
EPG-939:Toyota Landcruiser:5451448.50
EBU-973:Volvo Wagon:6825783.50
XTC-820:Ford pickup F100:6134017.00
FXX-784:Toyota Landcruiser:14358134.00
ZEA-310:Ford pickup F100:9114453.00
DEI-854:Ford Mustang 65:12202935.00
GVH-583:Mazda Miata:12833919.00
ISU-217:Camión Ford 350:7744406.50
XHL-038:Ford Mustang 65:9204812.00
BTJ-520:Ford Mustang 65:5565061.50
XIZ-777:Toyota Landcruiser:12913426.00
MPG-535:Plymouth Cuda:11902084.00
VDI-107:Toyota Landcruiser:11016199.00
MYR-707:Crown Victoria:7025448.50
BEQ-794:Ford  Van:13528157.00
ACZ-366:Ford Mustang 65:10883926.00
VXP-862:Camión Ford 350:14092502.00
EOW-120:Jeep Cherokee:6046300.00
GTD-220:Plymouth Cuda:11351427.00
DQP-731:Camión Ford 350:7279970.50
CVZ-709:BMW 5 Series:14086010.00
MUK-785:Camión Ford 350:6246241.50
GHJ-429:Ford  Van:12000193.00
PHE-943:Chevy Pickup:5872339.50
FCH-292:Ford Mustang 65:9805632.00
ZWG-833:Bus Escolar:14894404.00
QID-938:Crown Victoria:8115606.50
CMW-589:Toyota Landcruiser:5995382.50
BKI-068:Range Rover:10057196.00
STM-014:Chevy Van:12388589.00
UWR-169:Chevy Van:5380466.00
MXI-384:Crown Victoria:8879612.00
VSY-454:Plymouth Cuda:5349048.00
EMI-390:Chevy Van:5747392.00
YTV-678:Plymouth Cuda:8749568.00
USO-619:Mitsubish Eclipse:10408557.00
RMJ-294:Toyota Landcruiser:9584882.00
XUK-884:Volvo Wagon:10963835.00
GLK-937:Toyota Landcruiser:7192990.00
MTT-662:Jeep Cherokee:10660397.00
TYO-630:Plymouth Cuda:12597082.00
UED-667:Sedan:10024323.00
EYW-470:BMW 5 Series:10881411.00
WIV-564:Jeep Cherokee:13778291.00
JLB-748:Plymouth Cuda:14755314.00
ZCX-684:Mitsubish Eclipse:9889340.00
JJM-040:Ford pickup F100:7844580.50
KDV-057:Sedan:9105658.00
DLO-525:Plymouth Cuda:13124211.00
RTW-413:Chevy Pickup:9824287.00
SZO-108:Ford  Van:9677866.00
ZIM-408:BMW 5 Series:8668628.00
IYT-645:Camión Ford 350:13389362.00
IRQ-401:Chevy Van:14708100.00
BOX-133:Jeep Cherokee:10426439.00
RAW-782:BMW 5 Series:13926388.00
ERV-626:Chevy Pickup:13181906.00
ILA-359:Bus Escolar:5941952.50
NZT-932:Mazda Miata:7994035.50
HES-146:Range Rover:8852967.00
GFH-480:BMW 5 Series:5354089.50
OBO-106:Chevy Pickup:12426084.00
QMM-977:Toyota Landcruiser:14697758.00
YRG-326:Chevy Pickup:14597938.00
VGB-630:Sedan:13651976.00
DKZ-107:Caprice Classic:11887265.00
FER-996:Sedan:5519129.50
IHF-591:Chevy Van:6416248.00
KEL-723:Jeep Cherokee:11104221.00
SPN-722:Ford Mustang 65:9830501.00
JDM-275:Toyota Landcruiser:6580966.50
VKR-758:Mitsubish Eclipse:10109733.00
ZYT-223:Mitsubish Eclipse:11287973.00
YDT-232:Caprice Classic:12107362.00
KEA-161:Chevy Pickup:7446441.00
OXG-177:Chevy Van:6215166.50
SWZ-926:Camión Ford 350:14574208.00
USJ-190:Jeep Cherokee:13320066.00
GVN-997:Chevy Pickup:9766623.00
STR-457:Plymouth Cuda:6758924.50
QEF-871:Range Rover:5235590.00
XKR-845:Chevy Van:7387279.50
JTS-351:Plymouth Cuda:13831372.00
YOR-438:Mitsubish Eclipse:11909259.00
AXV-808:Mitsubish Eclipse:8765925.00
GBW-751:Crown Victoria:10061752.00
